filename,damage_area_ratio,severity,num_regions_detected,gt_boxes,best_iou,mean_iou,processing_time_sec,method
potholes0.png,0.022259,Medium,14,12,0.3753,0.1,0.02,graphcut
potholes1.png,0.0,Low,0,2,0.0,0.0,5.171,graphcut
potholes10.png,0.0,Low,0,2,0.0,0.0,11.621,graphcut
potholes100.png,0.0,Low,0,1,0.0,0.0,6.3,graphcut
potholes101.png,0.0,Low,0,2,0.0,0.0,3.684,graphcut
potholes102.png,0.0,Low,0,1,0.0,0.0,6.408,graphcut
potholes103.png,0.0,Low,0,3,0.0,0.0,5.009,graphcut
potholes104.png,0.0,Low,0,2,0.0,0.0,4.386,graphcut
potholes105.png,0.028725,Medium,5,8,0.0,0.0,5.939,graphcut
potholes106.png,0.013183,Low,4,1,0.0151,0.0151,0.015,graphcut
potholes107.png,0.0,Low,0,2,0.0,0.0,4.549,graphcut
potholes108.png,0.0,Low,0,13,0.0,0.0,6.302,graphcut
potholes109.png,0.0,Low,0,3,0.0,0.0,2.644,graphcut
potholes11.png,0.0,Low,0,2,0.0,0.0,14.328,graphcut
potholes110.png,0.003767,Low,1,2,0.0,0.0,7.642,graphcut
potholes111.png,0.0,Low,0,1,0.0,0.0,13.776,graphcut
potholes112.png,0.0,Low,0,1,0.0,0.0,5.231,graphcut
potholes113.png,0.0,Low,0,3,0.0,0.0,4.726,graphcut
potholes114.png,0.0,Low,0,3,0.0,0.0,14.725,graphcut
potholes115.png,0.0,Low,0,1,0.0,0.0,13.028,graphcut
potholes116.png,0.0,Low,0,2,0.0,0.0,0.034,graphcut
potholes117.png,0.0,Low,0,2,0.0,0.0,13.058,graphcut
potholes118.png,0.0,Low,0,1,0.0,0.0,0.03,graphcut
potholes119.png,0.0,Low,0,1,0.0,0.0,12.143,graphcut
potholes12.png,0.0,Low,0,5,0.0,0.0,4.928,graphcut
potholes120.png,0.000906,Low,1,3,0.0168,0.0056,0.022,graphcut
potholes121.png,0.0,Low,0,15,0.0,0.0,3.575,graphcut
potholes122.png,0.0,Low,0,2,0.0,0.0,10.653,graphcut
potholes123.png,0.001862,Low,2,3,0.0,0.0,0.022,graphcut
potholes124.png,0.0,Low,0,1,0.0,0.0,5.959,graphcut
potholes125.png,0.0,Low,0,2,0.0,0.0,3.679,graphcut
potholes126.png,0.0,Low,0,5,0.0,0.0,3.51,graphcut
potholes127.png,0.0,Low,0,3,0.0,0.0,10.591,graphcut
potholes128.png,0.0,Low,0,1,0.0,0.0,10.665,graphcut
potholes129.png,0.0,Low,0,1,0.0,0.0,3.366,graphcut
potholes13.png,0.0,Low,0,2,0.0,0.0,4.278,graphcut
potholes130.png,0.0,Low,0,1,0.0,0.0,4.787,graphcut
potholes131.png,0.007369,Low,1,1,0.0,0.0,10.019,graphcut
potholes132.png,0.0,Low,0,2,0.0,0.0,0.03,graphcut
potholes133.png,0.0,Low,0,1,0.0,0.0,10.637,graphcut
potholes134.png,0.0,Low,0,1,0.0,0.0,11.282,graphcut
potholes135.png,0.0,Low,0,2,0.0,0.0,11.307,graphcut
potholes136.png,0.003331,Low,3,3,0.0,0.0,0.025,graphcut
potholes137.png,0.0,Low,0,1,0.0,0.0,3.246,graphcut
potholes138.png,0.0,Low,0,1,0.0,0.0,5.007,graphcut
potholes139.png,0.0,Low,0,2,0.0,0.0,9.786,graphcut
potholes14.png,0.0,Low,0,5,0.0,0.0,9.904,graphcut
potholes140.png,0.0,Low,0,1,0.0,0.0,10.063,graphcut
potholes141.png,0.0,Low,0,1,0.0,0.0,4.765,graphcut
potholes142.png,0.0,Low,0,6,0.0,0.0,4.485,graphcut
potholes143.png,0.0,Low,0,1,0.0,0.0,3.02,graphcut
potholes144.png,0.0,Low,0,9,0.0,0.0,5.506,graphcut
potholes145.png,0.0,Low,0,3,0.0,0.0,3.108,graphcut
potholes146.png,0.0,Low,0,2,0.0,0.0,4.424,graphcut
potholes147.png,0.0,Low,0,2,0.0,0.0,4.369,graphcut
potholes148.png,0.0,Low,0,3,0.0,0.0,5.716,graphcut
potholes149.png,0.0,Low,0,7,0.0,0.0,4.522,graphcut
potholes15.png,0.0,Low,0,1,0.0,0.0,4.446,graphcut
potholes150.png,0.002012,Low,1,1,0.0047,0.0047,0.017,graphcut
potholes151.png,0.0,Low,0,1,0.0,0.0,6.765,graphcut
potholes152.png,0.0,Low,0,2,0.0,0.0,0.029,graphcut
potholes153.png,0.0,Low,0,4,0.0,0.0,5.657,graphcut
potholes154.png,0.0,Low,0,9,0.0,0.0,4.452,graphcut
